"year" "sex" "age" "population"
2015 "male" "0-4" 11241.7
2015 "male" "5-9" 11302.9
2015 "male" "10-14" 11241.7
2015 "male" "15-19" 11188.4
2015 "male" "20-24" 11100.6
2015 "male" "25-29" 10900
2015 "male" "30-34" 10592.8
2015 "male" "35-39" 9954.8
2015 "male" "40-44" 9304.2
2015 "male" "45-49" 8199.7
2015 "male" "50-54" 6943.9
2015 "male" "55-59" 5642.1
2015 "male" "60-64" 4240.9
2015 "male" "65-69" 3026.4
2015 "male" "70-74" 1818.2
2015 "male" "75+" 1785.1
2015 "female" "0-4" 10761.2
2015 "female" "5-9" 10892.7
2015 "female" "10-14" 10984.1
2015 "female" "15-19" 10970.8
2015 "female" "20-24" 10839.7
2015 "female" "25-29" 10628.8
2015 "female" "30-34" 10416.1
2015 "female" "35-39" 9804.9
2015 "female" "40-44" 9148.5
2015 "female" "45-49" 8102.5
2015 "female" "50-54" 6890.7
2015 "female" "55-59" 5541.8
2015 "female" "60-64" 4249.3
2015 "female" "65-69" 3179.4
2015 "female" "70-74" 2217.8
2015 "female" "75+" 2476.2
2016 "male" "0-4" 11214.1
2016 "male" "5-9" 11297.6
2016 "male" "10-14" 11252.4
2016 "male" "15-19" 11183.3
2016 "male" "20-24" 11094.2
2016 "male" "25-29" 10922.8
2016 "male" "30-34" 10652.3
2016 "male" "35-39" 10064.7
2016 "male" "40-44" 9429.9
2016 "male" "45-49" 8409.3
2016 "male" "50-54" 7147.4
2016 "male" "55-59" 5846.5
2016 "male" "60-64" 4433.3
2016 "male" "65-69" 3165
2016 "male" "70-74" 1936.2
2016 "male" "75+" 1861.2
2016 "female" "0-4" 10780.2
2016 "female" "5-9" 10866.1
2016 "female" "10-14" 10972.6
2016 "female" "15-19" 10965.6
2016 "female" "20-24" 10856.7
2016 "female" "25-29" 10649.2
2016 "female" "30-34" 10460.1
2016 "female" "35-39" 9922
2016 "female" "40-44" 9272.4
2016 "female" "45-49" 8307.4
2016 "female" "50-54" 7102.1
2016 "female" "55-59" 5775.6
2016 "female" "60-64" 4446.5
2016 "female" "65-69" 3313.8
2016 "female" "70-74" 2314
2016 "female" "75+" 2582
2017 "male" "0-4" 11189.2
2017 "male" "5-9" 11276.9
2017 "male" "10-14" 11269
2017 "male" "15-19" 11180.5
2017 "male" "20-24" 11087
2017 "male" "25-29" 10941.1
2017 "male" "30-34" 10695.6
2017 "male" "35-39" 10180.1
2017 "male" "40-44" 9537.2
2017 "male" "45-49" 8614.7
2017 "male" "50-54" 7355.8
2017 "male" "55-59" 6040.5
2017 "male" "60-64" 4636.6
2017 "male" "65-69" 3301.1
2017 "male" "70-74" 2063.9
2017 "male" "75+" 1941.4
2017 "female" "0-4" 10802.1
2017 "female" "5-9" 10829.8
2017 "female" "10-14" 10960
2017 "female" "15-19" 10961.3
2017 "female" "20-24" 10876.3
2017 "female" "25-29" 10668.4
2017 "female" "30-34" 10483.2
2017 "female" "35-39" 10034.2
2017 "female" "40-44" 9387.2
2017 "female" "45-49" 8505.3
2017 "female" "50-54" 7316.5
2017 "female" "55-59" 6006.1
2017 "female" "60-64" 4652.8
2017 "female" "65-69" 3451.1
2017 "female" "70-74" 2416.9
2017 "female" "75+" 2693.7
2018 "male" "0-4" 11164
2018 "male" "5-9" 11249.7
2018 "male" "10-14" 11286.4
2018 "male" "15-19" 11177.7
2018 "male" "20-24" 11079.8
2018 "male" "25-29" 10954.3
2018 "male" "30-34" 10727.6
2018 "male" "35-39" 10293.8
2018 "male" "40-44" 9633.6
2018 "male" "45-49" 8811.5
2018 "male" "50-54" 7558.9
2018 "male" "55-59" 6235.8
2018 "male" "60-64" 4845.3
2018 "male" "65-69" 3440.3
2018 "male" "70-74" 2198.4
2018 "male" "75+" 2025.8
2018 "female" "0-4" 10826.1
2018 "female" "5-9" 10793.9
2018 "female" "10-14" 10939.7
2018 "female" "15-19" 10956.2
2018 "female" "20-24" 10887.6
2018 "female" "25-29" 10693
2018 "female" "30-34" 10493.9
2018 "female" "35-39" 10142.7
2018 "female" "40-44" 9490.1
2018 "female" "45-49" 8693
2018 "female" "50-54" 7531.1
2018 "female" "55-59" 6232.2
2018 "female" "60-64" 4866.9
2018 "female" "65-69" 3595.2
2018 "female" "70-74" 2525.5
2018 "female" "75+" 2811.6
2019 "male" "0-4" 11133.2
2019 "male" "5-9" 11230.4
2019 "male" "10-14" 11290.3
2019 "male" "15-19" 11180.6
2019 "male" "20-24" 11073.2
2019 "male" "25-29" 10962
2019 "male" "30-34" 10753.2
2019 "male" "35-39" 10395.6
2019 "male" "40-44" 9728.9
2019 "male" "45-49" 8994.2
2019 "male" "50-54" 7760
2019 "male" "55-59" 6431.7
2019 "male" "60-64" 5043.3
2019 "male" "65-69" 3596.6
2019 "male" "70-74" 2337.7
2019 "male" "75+" 2114.7
2019 "female" "0-4" 10841.1
2019 "female" "5-9" 10768.4
2019 "female" "10-14" 10909.9
2019 "female" "15-19" 10954.2
2019 "female" "20-24" 10890.9
2019 "female" "25-29" 10716.6
2019 "female" "30-34" 10504.5
2019 "female" "35-39" 10235.5
